OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
442,8123001408,"Census Tract 14.08, Weld County, Colorado",8123001408,WELD,1.25,0,2101,1680.8
443,8123001405,"Census Tract 14.05, Weld County, Colorado",8123001405,WELD,1.47,0,4314,2934.7
444,8123001406,"Census Tract 14.06, Weld County, Colorado",8123001406,WELD,2.87,0,5593,1948.8
445,8123001414,"Census Tract 14.14, Weld County, Colorado",8123001414,WELD,0.54,0,2218,4107.4
446,8123001003,"Census Tract 10.03, Weld County, Colorado",8123001003,WELD,0.51,0,4968,9741.2
447,8123002207,"Census Tract 22.07, Weld County, Colorado",8123002207,WELD,5.63,0.11,3062,543.9
448,8123002009,"Census Tract 20.09, Weld County, Colorado",8123002009,WELD,16.49,0,1414,85.7
449,8123001908,"Census Tract 19.08, Weld County, Colorado",8123001908,WELD,29.51,0.22,2668,90.4
450,8123002010,"Census Tract 20.10, Weld County, Colorado",8123002010,WELD,15.66,0.19,2599,166
451,8123001906,"Census Tract 19.06, Weld County, Colorado",8123001906,WELD,17.15,0.13,1672,97.5
452,8123002103,"Census Tract 21.03, Weld County, Colorado",8123002103,WELD,80.38,2.96,9367,116.5
453,8123001410,"Census Tract 14.10, Weld County, Colorado",8123001410,WELD,1.19,0,3414,2868.9
454,8123002208,"Census Tract 22.08, Weld County, Colorado",8123002208,WELD,39.23,2.23,5439,138.6
455,8123001417,"Census Tract 14.17, Weld County, Colorado",8123001417,WELD,0.68,0.01,2800,4117.6
456,8123001416,"Census Tract 14.16, Weld County, Colorado",8123001416,WELD,6.08,0,2482,408.2
457,8123001005,"Census Tract 10.05, Weld County, Colorado",8123001005,WELD,3.1,0.06,7248,2338.1
458,8123001004,"Census Tract 10.04, Weld County, Colorado",8123001004,WELD,1.68,0.02,4380,2607.1
459,8123000705,"Census Tract 7.05, Weld County, Colorado",8123000705,WELD,33.05,1.33,1513,45.8
460,8123000800,"Census Tract 8, Weld County, Colorado",8123000800,WELD,0.7,0,3127,4467.1
461,8123000200,"Census Tract 2, Weld County, Colorado",8123000200,WELD,0.34,0,3924,11541.2
462,8123000100,"Census Tract 1, Weld County, Colorado",8123000100,WELD,0.58,0,2628,4531
463,8123000300,"Census Tract 3, Weld County, Colorado",8123000300,WELD,0.24,0,2343,9762.5
464,8123000900,"Census Tract 9, Weld County, Colorado",8123000900,WELD,0.58,0,3307,5701.7
465,8123000402,"Census Tract 4.02, Weld County, Colorado",8123000402,WELD,0.63,0,3961,6287.3
466,8123001202,"Census Tract 12.02, Weld County, Colorado",8123001202,WELD,0.57,0,2720,4771.9
467,8123001300,"Census Tract 13, Weld County, Colorado",8123001300,WELD,1.82,0.03,8044,4419.8
468,8123001201,"Census Tract 12.01, Weld County, Colorado",8123001201,WELD,0.58,0,4029,6946.6
469,8123000502,"Census Tract 5.02, Weld County, Colorado",8123000502,WELD,0.52,0,3548,6823.1
470,8123000401,"Census Tract 4.01, Weld County, Colorado",8123000401,WELD,0.69,0,3256,4718.8
471,8123001100,"Census Tract 11, Weld County, Colorado",8123001100,WELD,0.97,0.02,4413,4549.5
472,8123001800,"Census Tract 18, Weld County, Colorado",8123001800,WELD,124.89,3.22,4344,34.8
473,8123000600,"Census Tract 6, Weld County, Colorado",8123000600,WELD,1.82,0.05,2147,1179.7
474,8123001700,"Census Tract 17, Weld County, Colorado",8123001700,WELD,65.71,0.6,5482,83.4
475,8123001404,"Census Tract 14.04, Weld County, Colorado",8123001404,WELD,6.86,0.07,3195,465.7
476,8123002502,"Census Tract 25.02, Weld County, Colorado",8123002502,WELD,526.37,6.18,6288,11.9
477,8123001902,"Census Tract 19.02, Weld County, Colorado",8123001902,WELD,59.46,0.17,7413,124.7
478,8123001500,"Census Tract 15, Weld County, Colorado",8123001500,WELD,65.47,0.49,7207,110.1
479,8123002300,"Census Tract 23, Weld County, Colorado",8123002300,WELD,112.19,1.22,5351,47.7
480,8123000701,"Census Tract 7.01, Weld County, Colorado",8123000701,WELD,1.26,0,1650,1309.5
481,8123001600,"Census Tract 16, Weld County, Colorado",8123001600,WELD,92.96,0.78,4840,52.1
482,8123002501,"Census Tract 25.01, Weld County, Colorado",8123002501,WELD,2459.41,7.92,5218,2.1
483,8123000501,"Census Tract 5.01, Weld County, Colorado",8123000501,WELD,0.38,0,3473,9139.5
484,8123002013,"Census Tract 20.13, Weld County, Colorado",8123002013,WELD,2.99,0.07,3148,1052.8
485,8123002012,"Census Tract 20.12, Weld County, Colorado",8123002012,WELD,3.14,0,1232,392.4
487,8121924200,"Census Tract 9242, Washington County, Colorado",8121924200,WASHINGTON,746.49,3.22,2870,3.8
488,8123002006,"Census Tract 20.06, Weld County, Colorado",8123002006,WELD,15.38,0.06,286,18.6
489,8123002102,"Census Tract 21.02, Weld County, Colorado",8123002102,WELD,27.98,0.33,12967,463.4
490,8123002101,"Census Tract 21.01, Weld County, Colorado",8123002101,WELD,43.15,0.35,8261,191.4
491,8123002210,"Census Tract 22.10, Weld County, Colorado",8123002210,WELD,7.79,0.06,1079,138.5
